Subtype;Phylum;Phylum_count;Number_of_phylum_containing_each_crisprtype;Total_number_of_different_crisprtype_per_prokaryotic_genomes;Frequency_of_each_crisprtype_in_a_given_phylum;Prediction subtype;crispr_type;crispr_class
I-A;Acidobacteriota;8;0;0;0;I-A;Type I;Class 1
I-B;Acidobacteriota;8;0;0;0;I-B;Type I;Class 1
I-C;Acidobacteriota;8;2;2;0.25;I-C;Type I;Class 1
I-D;Acidobacteriota;8;0;0;0;I-D;Type I;Class 1
I-E;Acidobacteriota;8;0;0;0;I-E;Type I;Class 1
I-F;Acidobacteriota;8;0;0;0;I-F;Type I;Class 1
I-G;Acidobacteriota;8;0;0;0;I-G;Type I;Class 1
II-A;Acidobacteriota;8;0;0;0;II-A;Type II;Class 2
II-B;Acidobacteriota;8;0;0;0;II-B;Type II;Class 2
II-C;Acidobacteriota;8;0;0;0;II-C;Type II;Class 2
III-A;Acidobacteriota;8;0;0;0;III-A;Type III;Class 1
III-B;Acidobacteriota;8;0;0;0;III-B;Type III;Class 1
III-C;Acidobacteriota;8;0;0;0;III-C;Type III;Class 1
III-D;Acidobacteriota;8;0;0;0;III-D;Type III;Class 1
IV-A1;Acidobacteriota;8;0;0;0;IV-A1;Type IV;Class 1
V-A;Acidobacteriota;8;0;0;0;V-A;Type V;Class 2
V-K;Acidobacteriota;8;0;0;0;V-K;Type V;Class 2
VI-A;Acidobacteriota;8;0;0;0;VI-A;Type VI;Class 2
VI-B1;Acidobacteriota;8;0;0;0;VI-B1;Type VI;Class 2
I-A;Actinomycetota;82;0;0;0;I-A;Type I;Class 1
I-B;Actinomycetota;82;0;0;0;I-B;Type I;Class 1
I-C;Actinomycetota;82;2;3;0.024390244;I-C;Type I;Class 1
I-D;Actinomycetota;82;0;0;0;I-D;Type I;Class 1
I-E;Actinomycetota;82;11;17;0.134146341;I-E;Type I;Class 1
I-F;Actinomycetota;82;0;0;0;I-F;Type I;Class 1
I-G;Actinomycetota;82;1;2;0.012195122;I-G;Type I;Class 1
II-A;Actinomycetota;82;0;0;0;II-A;Type II;Class 2
II-B;Actinomycetota;82;0;0;0;II-B;Type II;Class 2
II-C;Actinomycetota;82;0;0;0;II-C;Type II;Class 2
III-A;Actinomycetota;82;0;0;0;III-A;Type III;Class 1
III-B;Actinomycetota;82;0;0;0;III-B;Type III;Class 1
III-C;Actinomycetota;82;0;0;0;III-C;Type III;Class 1
III-D;Actinomycetota;82;0;0;0;III-D;Type III;Class 1
IV-A1;Actinomycetota;82;1;1;0.012195122;IV-A1;Type IV;Class 1
V-A;Actinomycetota;82;0;0;0;V-A;Type V;Class 2
V-K;Actinomycetota;82;0;0;0;V-K;Type V;Class 2
VI-A;Actinomycetota;82;0;0;0;VI-A;Type VI;Class 2
VI-B1;Actinomycetota;82;0;0;0;VI-B1;Type VI;Class 2
I-A;Bacillota;32;0;0;0;I-A;Type I;Class 1
I-B;Bacillota;32;3;3;0.09375;I-B;Type I;Class 1
I-C;Bacillota;32;3;4;0.09375;I-C;Type I;Class 1
I-D;Bacillota;32;0;0;0;I-D;Type I;Class 1
I-E;Bacillota;32;0;0;0;I-E;Type I;Class 1
I-F;Bacillota;32;0;0;0;I-F;Type I;Class 1
I-G;Bacillota;32;0;0;0;I-G;Type I;Class 1
II-A;Bacillota;32;2;2;0.0625;II-A;Type II;Class 2
II-B;Bacillota;32;0;0;0;II-B;Type II;Class 2
II-C;Bacillota;32;0;0;0;II-C;Type II;Class 2
III-A;Bacillota;32;0;0;0;III-A;Type III;Class 1
III-B;Bacillota;32;2;2;0.0625;III-B;Type III;Class 1
III-C;Bacillota;32;0;0;0;III-C;Type III;Class 1
III-D;Bacillota;32;0;0;0;III-D;Type III;Class 1
IV-A1;Bacillota;32;0;0;0;IV-A1;Type IV;Class 1
V-A;Bacillota;32;0;0;0;V-A;Type V;Class 2
V-K;Bacillota;32;0;0;0;V-K;Type V;Class 2
VI-A;Bacillota;32;0;0;0;VI-A;Type VI;Class 2
VI-B1;Bacillota;32;0;0;0;VI-B1;Type VI;Class 2
I-A;Bacteroidota;245;4;4;0.016326531;I-A;Type I;Class 1
I-B;Bacteroidota;245;1;1;0.004081633;I-B;Type I;Class 1
I-C;Bacteroidota;245;0;0;0;I-C;Type I;Class 1
I-D;Bacteroidota;245;0;0;0;I-D;Type I;Class 1
I-E;Bacteroidota;245;0;0;0;I-E;Type I;Class 1
I-F;Bacteroidota;245;0;0;0;I-F;Type I;Class 1
I-G;Bacteroidota;245;0;0;0;I-G;Type I;Class 1
II-A;Bacteroidota;245;0;0;0;II-A;Type II;Class 2
II-B;Bacteroidota;245;0;0;0;II-B;Type II;Class 2
II-C;Bacteroidota;245;41;44;0.167346939;II-C;Type II;Class 2
III-A;Bacteroidota;245;0;0;0;III-A;Type III;Class 1
III-B;Bacteroidota;245;1;1;0.004081633;III-B;Type III;Class 1
III-C;Bacteroidota;245;1;1;0.004081633;III-C;Type III;Class 1
III-D;Bacteroidota;245;0;0;0;III-D;Type III;Class 1
IV-A1;Bacteroidota;245;0;0;0;IV-A1;Type IV;Class 1
V-A;Bacteroidota;245;2;2;0.008163265;V-A;Type V;Class 2
V-K;Bacteroidota;245;0;0;0;V-K;Type V;Class 2
VI-A;Bacteroidota;245;0;0;0;VI-A;Type VI;Class 2
VI-B1;Bacteroidota;245;3;6;0.012244898;VI-B1;Type VI;Class 2
I-A;Campylobacterota;6;0;0;0;I-A;Type I;Class 1
I-B;Campylobacterota;6;0;0;0;I-B;Type I;Class 1
I-C;Campylobacterota;6;0;0;0;I-C;Type I;Class 1
I-D;Campylobacterota;6;0;0;0;I-D;Type I;Class 1
I-E;Campylobacterota;6;0;0;0;I-E;Type I;Class 1
I-F;Campylobacterota;6;0;0;0;I-F;Type I;Class 1
I-G;Campylobacterota;6;0;0;0;I-G;Type I;Class 1
II-A;Campylobacterota;6;0;0;0;II-A;Type II;Class 2
II-B;Campylobacterota;6;1;1;0.166666667;II-B;Type II;Class 2
II-C;Campylobacterota;6;0;0;0;II-C;Type II;Class 2
III-A;Campylobacterota;6;0;0;0;III-A;Type III;Class 1
III-B;Campylobacterota;6;0;0;0;III-B;Type III;Class 1
III-C;Campylobacterota;6;0;0;0;III-C;Type III;Class 1
III-D;Campylobacterota;6;0;0;0;III-D;Type III;Class 1
IV-A1;Campylobacterota;6;0;0;0;IV-A1;Type IV;Class 1
V-A;Campylobacterota;6;0;0;0;V-A;Type V;Class 2
V-K;Campylobacterota;6;0;0;0;V-K;Type V;Class 2
VI-A;Campylobacterota;6;0;0;0;VI-A;Type VI;Class 2
VI-B1;Campylobacterota;6;0;0;0;VI-B1;Type VI;Class 2
I-A;Cyanobacteriota;9;0;0;0;I-A;Type I;Class 1
I-B;Cyanobacteriota;9;0;0;0;I-B;Type I;Class 1
I-C;Cyanobacteriota;9;0;0;0;I-C;Type I;Class 1
I-D;Cyanobacteriota;9;4;6;0.444444444;I-D;Type I;Class 1
I-E;Cyanobacteriota;9;0;0;0;I-E;Type I;Class 1
I-F;Cyanobacteriota;9;0;0;0;I-F;Type I;Class 1
I-G;Cyanobacteriota;9;0;0;0;I-G;Type I;Class 1
II-A;Cyanobacteriota;9;0;0;0;II-A;Type II;Class 2
II-B;Cyanobacteriota;9;0;0;0;II-B;Type II;Class 2
II-C;Cyanobacteriota;9;0;0;0;II-C;Type II;Class 2
III-A;Cyanobacteriota;9;1;1;0.111111111;III-A;Type III;Class 1
III-B;Cyanobacteriota;9;2;6;0.222222222;III-B;Type III;Class 1
III-C;Cyanobacteriota;9;0;0;0;III-C;Type III;Class 1
III-D;Cyanobacteriota;9;1;2;0.111111111;III-D;Type III;Class 1
IV-A1;Cyanobacteriota;9;0;0;0;IV-A1;Type IV;Class 1
V-A;Cyanobacteriota;9;0;0;0;V-A;Type V;Class 2
V-K;Cyanobacteriota;9;2;2;0.222222222;V-K;Type V;Class 2
VI-A;Cyanobacteriota;9;0;0;0;VI-A;Type VI;Class 2
VI-B1;Cyanobacteriota;9;0;0;0;VI-B1;Type VI;Class 2
I-A;Deinococcota;5;1;1;0.2;I-A;Type I;Class 1
I-B;Deinococcota;5;0;0;0;I-B;Type I;Class 1
I-C;Deinococcota;5;0;0;0;I-C;Type I;Class 1
I-D;Deinococcota;5;0;0;0;I-D;Type I;Class 1
I-E;Deinococcota;5;0;0;0;I-E;Type I;Class 1
I-F;Deinococcota;5;0;0;0;I-F;Type I;Class 1
I-G;Deinococcota;5;0;0;0;I-G;Type I;Class 1
II-A;Deinococcota;5;0;0;0;II-A;Type II;Class 2
II-B;Deinococcota;5;0;0;0;II-B;Type II;Class 2
II-C;Deinococcota;5;0;0;0;II-C;Type II;Class 2
III-A;Deinococcota;5;0;0;0;III-A;Type III;Class 1
III-B;Deinococcota;5;0;0;0;III-B;Type III;Class 1
III-C;Deinococcota;5;0;0;0;III-C;Type III;Class 1
III-D;Deinococcota;5;0;0;0;III-D;Type III;Class 1
IV-A1;Deinococcota;5;0;0;0;IV-A1;Type IV;Class 1
V-A;Deinococcota;5;0;0;0;V-A;Type V;Class 2
V-K;Deinococcota;5;0;0;0;V-K;Type V;Class 2
VI-A;Deinococcota;5;0;0;0;VI-A;Type VI;Class 2
VI-B1;Deinococcota;5;0;0;0;VI-B1;Type VI;Class 2
I-A;Desulfobacterota;3;0;0;0;I-A;Type I;Class 1
I-B;Desulfobacterota;3;0;0;0;I-B;Type I;Class 1
I-C;Desulfobacterota;3;0;0;0;I-C;Type I;Class 1
I-D;Desulfobacterota;3;0;0;0;I-D;Type I;Class 1
I-E;Desulfobacterota;3;1;1;0.333333333;I-E;Type I;Class 1
I-F;Desulfobacterota;3;1;1;0.333333333;I-F;Type I;Class 1
I-G;Desulfobacterota;3;0;0;0;I-G;Type I;Class 1
II-A;Desulfobacterota;3;0;0;0;II-A;Type II;Class 2
II-B;Desulfobacterota;3;0;0;0;II-B;Type II;Class 2
II-C;Desulfobacterota;3;0;0;0;II-C;Type II;Class 2
III-A;Desulfobacterota;3;0;0;0;III-A;Type III;Class 1
III-B;Desulfobacterota;3;0;0;0;III-B;Type III;Class 1
III-C;Desulfobacterota;3;0;0;0;III-C;Type III;Class 1
III-D;Desulfobacterota;3;0;0;0;III-D;Type III;Class 1
IV-A1;Desulfobacterota;3;0;0;0;IV-A1;Type IV;Class 1
V-A;Desulfobacterota;3;0;0;0;V-A;Type V;Class 2
V-K;Desulfobacterota;3;0;0;0;V-K;Type V;Class 2
VI-A;Desulfobacterota;3;0;0;0;VI-A;Type VI;Class 2
VI-B1;Desulfobacterota;3;0;0;0;VI-B1;Type VI;Class 2
I-A;Planctomycetota;22;0;0;0;I-A;Type I;Class 1
I-B;Planctomycetota;22;0;0;0;I-B;Type I;Class 1
I-C;Planctomycetota;22;4;6;0.181818182;I-C;Type I;Class 1
I-D;Planctomycetota;22;0;0;0;I-D;Type I;Class 1
I-E;Planctomycetota;22;1;2;0.045454545;I-E;Type I;Class 1
I-F;Planctomycetota;22;2;3;0.090909091;I-F;Type I;Class 1
I-G;Planctomycetota;22;4;4;0.181818182;I-G;Type I;Class 1
II-A;Planctomycetota;22;0;0;0;II-A;Type II;Class 2
II-B;Planctomycetota;22;0;0;0;II-B;Type II;Class 2
II-C;Planctomycetota;22;0;0;0;II-C;Type II;Class 2
III-A;Planctomycetota;22;1;1;0.045454545;III-A;Type III;Class 1
III-B;Planctomycetota;22;0;0;0;III-B;Type III;Class 1
III-C;Planctomycetota;22;0;0;0;III-C;Type III;Class 1
III-D;Planctomycetota;22;0;0;0;III-D;Type III;Class 1
IV-A1;Planctomycetota;22;0;0;0;IV-A1;Type IV;Class 1
V-A;Planctomycetota;22;0;0;0;V-A;Type V;Class 2
V-K;Planctomycetota;22;0;0;0;V-K;Type V;Class 2
VI-A;Planctomycetota;22;0;0;0;VI-A;Type VI;Class 2
VI-B1;Planctomycetota;22;0;0;0;VI-B1;Type VI;Class 2
I-A;Pseudomonadota;498;0;0;0;I-A;Type I;Class 1
I-B;Pseudomonadota;498;0;0;0;I-B;Type I;Class 1
I-C;Pseudomonadota;498;10;12;0.020080321;I-C;Type I;Class 1
I-D;Pseudomonadota;498;1;1;0.002008032;I-D;Type I;Class 1
I-E;Pseudomonadota;498;17;21;0.034136546;I-E;Type I;Class 1
I-F;Pseudomonadota;498;35;45;0.070281124;I-F;Type I;Class 1
I-G;Pseudomonadota;498;0;0;0;I-G;Type I;Class 1
II-A;Pseudomonadota;498;0;0;0;II-A;Type II;Class 2
II-B;Pseudomonadota;498;0;0;0;II-B;Type II;Class 2
II-C;Pseudomonadota;498;7;8;0.014056225;II-C;Type II;Class 2
III-A;Pseudomonadota;498;0;0;0;III-A;Type III;Class 1
III-B;Pseudomonadota;498;4;6;0.008032129;III-B;Type III;Class 1
III-C;Pseudomonadota;498;0;0;0;III-C;Type III;Class 1
III-D;Pseudomonadota;498;0;0;0;III-D;Type III;Class 1
IV-A1;Pseudomonadota;498;0;0;0;IV-A1;Type IV;Class 1
V-A;Pseudomonadota;498;0;0;0;V-A;Type V;Class 2
V-K;Pseudomonadota;498;0;0;0;V-K;Type V;Class 2
VI-A;Pseudomonadota;498;2;2;0.004016064;VI-A;Type VI;Class 2
VI-B1;Pseudomonadota;498;0;0;0;VI-B1;Type VI;Class 2
I-A;Verrucomicrobiota;14;0;0;0;I-A;Type I;Class 1
I-B;Verrucomicrobiota;14;0;0;0;I-B;Type I;Class 1
I-C;Verrucomicrobiota;14;1;1;0.071428571;I-C;Type I;Class 1
I-D;Verrucomicrobiota;14;0;0;0;I-D;Type I;Class 1
I-E;Verrucomicrobiota;14;0;0;0;I-E;Type I;Class 1
I-F;Verrucomicrobiota;14;0;0;0;I-F;Type I;Class 1
I-G;Verrucomicrobiota;14;1;1;0.071428571;I-G;Type I;Class 1
II-A;Verrucomicrobiota;14;0;0;0;II-A;Type II;Class 2
II-B;Verrucomicrobiota;14;0;0;0;II-B;Type II;Class 2
II-C;Verrucomicrobiota;14;0;0;0;II-C;Type II;Class 2
III-A;Verrucomicrobiota;14;0;0;0;III-A;Type III;Class 1
III-B;Verrucomicrobiota;14;0;0;0;III-B;Type III;Class 1
III-C;Verrucomicrobiota;14;0;0;0;III-C;Type III;Class 1
III-D;Verrucomicrobiota;14;0;0;0;III-D;Type III;Class 1
IV-A1;Verrucomicrobiota;14;0;0;0;IV-A1;Type IV;Class 1
V-A;Verrucomicrobiota;14;0;0;0;V-A;Type V;Class 2
V-K;Verrucomicrobiota;14;0;0;0;V-K;Type V;Class 2
VI-A;Verrucomicrobiota;14;0;0;0;VI-A;Type VI;Class 2
VI-B1;Verrucomicrobiota;14;0;0;0;VI-B1;Type VI;Class 2
